Item,Make,Model,Part Number,Qty,Notes
Haar Sensor Board,Caltronics ,Haar_Primal_HardMount_2v0,N/A,1,
Goretex Vent,Amphenol ,Breathable Vent,VENT-PS1NGY-O8002,1,
3D Printed Housing,Custom,HaarBody_v000,N/A,1,"3D Hubs, SLS process, HP PA 12 Nylon"
